"Date","MWH"
2003-06-01,13720
2003-07-01,974
2003-08-01,26135
2003-09-01,16927
2003-10-01,12739
2003-11-01,4019
2003-12-01,3731
2004-01-01,3528
2004-02-01,5029
2004-03-01,3447
2004-04-01,8300
2004-05-01,8675
2004-06-01,15785
2004-07-01,27816
2004-08-01,27593
2004-09-01,24060
2004-10-01,16100
2004-11-01,2955
2004-12-01,6012
2005-01-01,7548
2005-02-01,12367
2005-03-01,18540
2005-04-01,28418
2005-05-01,24823
2005-06-01,17534
2005-07-01,24244
2005-08-01,24513
2005-09-01,22315
2005-10-01,15534
2005-11-01,6180
2005-12-01,6826
2006-01-01,9060
2006-02-01,7397
2006-03-01,11619
2006-04-01,17657
2006-05-01,14821
2006-06-01,28892
2006-07-01,37592
2006-08-01,38449
2006-09-01,30454.44
2006-10-01,20335.14
2006-11-01,14188.35
2006-12-01,25399.23
2007-01-01,25009.65
2007-02-01,14081.17
2007-03-01,9846.5
2007-04-01,11371.82
2007-05-01,11253.79
2007-06-01,13172.69
2007-07-01,28803.14
2007-08-01,31572.3
2007-09-01,33619.48
2007-10-01,23813.67
2007-11-01,18001.93
2007-12-01,18598.3
2008-01-01,25428.43
2008-02-01,25704.33
2008-03-01,13974.08
2008-04-01,37838.46
2008-05-01,52036.4
2008-06-01,39623.3
2008-07-01,31403.03
2008-08-01,36414.27
2008-09-01,34425.7
2008-10-01,24805.86
2008-11-01,9451.29
2008-12-01,10299.39
2009-01-01,11094.07
2009-02-01,11954.59
2009-03-01,13761.77
2009-04-01,17134.41
2009-05-01,32564.15
2009-06-01,53930.05
2009-07-01,45083.76
2009-08-01,39331.79
2009-09-01,27742.05
2009-10-01,23730.22
2009-11-01,8017.16
2009-12-01,13436.97
2010-01-01,12291.97
2010-02-01,10600.67
2010-03-01,9316.8
2010-04-01,12756.27
2010-05-01,31261.97
2010-06-01,15472.18
2010-07-01,29568.71
2010-08-01,27482.96
2010-09-01,25362.01
2010-10-01,24316.74
2010-11-01,6635.17
2010-12-01,7738.21
2011-01-01,7579.36
2011-02-01,12046.15
2011-03-01,21085.62
2011-04-01,26438.65
2011-05-01,44204.88
2011-06-01,36206.31
2011-07-01,46728.36
2011-08-01,38809.96
2011-09-01,33649.91
2011-10-01,27634.4
2011-11-01,10821.95
2011-12-01,25292
2012-01-01,14654.21
2012-02-01,9377.84
2012-03-01,9129.81
2012-04-01,16007.22
2012-05-01,19461.11
2012-06-01,25547.83
2012-07-01,24217.11
2012-08-01,20734.46
2012-09-01,17268.16
2012-10-01,8208.16
2012-11-01,4848.48
2012-12-01,3929.45
2013-01-01,3583.88
2013-02-01,3503.77
2013-03-01,3786.27
2013-04-01,9504.44
2013-05-01,14563.85
2013-06-01,18232.63
2013-07-01,25767.99
2013-08-01,23011.43
2013-09-01,16701.77
2013-10-01,11501.93
2013-11-01,3406.28
2013-12-01,2723.56
2014-01-01,3469.89
2014-02-01,3082.23
2014-03-01,6043.7
2014-04-01,7148.43
2014-05-01,19469.59
2014-06-01,54068.24
2014-07-01,34752.07
2014-08-01,30502.26
2014-09-01,23236.67
2014-10-01,17874.38
2014-11-01,7450.9
2014-12-01,15486.7
2015-01-01,16030.67
2015-02-01,7828.28
2015-03-01,6893.16
2015-04-01,12747.38
2015-05-01,20578.21
2015-06-01,37837.3
2015-07-01,41470.13
2015-08-01,31853.25
2015-09-01,28443.65
2015-10-01,25743.43
2015-11-01,12681
2015-12-01,17818.58
2016-01-01,17286.93
2016-02-01,16141.06
2016-03-01,10201.73
2016-04-01,17694.64
2016-05-01,37649.79
2016-06-01,13583.85
2016-07-01,34366.58
2016-08-01,33304.64
2016-09-01,29739.09
2016-10-01,26100.47
2016-11-01,9436.04
2016-12-01,9776.47
2017-01-01,9536.05
2017-02-01,12723.5
2017-03-01,19359.56
2017-04-01,15065.1
2017-05-01,43138.97
2017-06-01,40176.89
2017-07-01,34589.54
2017-08-01,34259.15
2017-09-01,35114.75
2017-10-01,30422.32
2017-11-01,11654.99
2017-12-01,26977.17
2018-01-01,16970.44
2018-02-01,8856.97
2018-03-01,12095.95
2018-04-01,22801.95
2018-05-01,23367.01
2018-06-01,27050.6
2018-07-01,27467.62
2018-08-01,24300.86
2018-09-01,7585.47
2018-10-01,11244.6
2018-11-01,4582.19
2018-12-01,4925.78
2019-01-01,3866.34
2019-02-01,5636.76
2019-03-01,5957.77
2019-04-01,8547.85
2019-05-01,22898.02
2019-06-01,33333.26
2019-07-01,27727.34
2019-08-01,24235.3
2019-09-01,14648.04
2019-10-01,25797.82
2019-11-01,22285.26
2019-12-01,25594.14
2020-01-01,17898.71
2020-02-01,12093.39
2020-03-01,10932.17
2020-04-01,20640.14
2020-05-01,23280.85
2020-06-01,23867.49
2020-07-01,27330
2020-08-01,27887.73
2020-09-01,22743.3
2020-10-01,17812.57
2020-11-01,4802.41
2020-12-01,5427.88
2021-01-01,4833.81
2021-02-01,5135.06
2021-03-01,8032.19
