"","Variable","Mean","Min.","Max.","sd"
"1"," Elevation.ft","7486","7438","7519",18.5128782805107
"2","  Storage.af","557251","247684","826302",134507.536884453
"3","Evaporation.af","648.6","114.0","1544.0",443.677461123352
"4","  Inflow.cfs","1139.7","258.0","7456.0",1278.04779742699
"5","UnregInflow.cfs","1137","195","7915",1366.54811089039
"6","  Power.cfs","1078.2","186.0","3118.0",588.988492271198
"7","  Bypass.cfs","58.88","0.00","2379.00",252.855841376967
"8"," Spillway.cfs","-1.155e+07","-2.147e+09","1.257e+03",157461141.482004
"9","  Total.cfs","1146.3","186.0","5939.0",761.357065545102
"10","     MaxT","55.13","13.40","87.20",20.7489955989863
"11","     MinT","23.63","-11.80","50.80",16.759004493666
"12","    Precip","0.7294","0.0000","4.3900",0.610539515867663
"13","     Snow","3.906","0.000","32.900",5.8643049838759
"14","     MWH","18856","2724","54068",10896.9580010757
